"sample","population","num_cells","percentage"
"CK225_kidney_PKD1-","Unk_1",8,0.128
"CK225_kidney_PKD1-","Unk_2",14,0.224
"Control1_Control1_kidney","PC-CD/CNT",656,10.8519437551696
"Control1_Control1_kidney","PT_1",1478,24.449958643507
"Control1_Control1_kidney","TAL_1",351,5.80645161290323
"Control1_Control1_kidney","TAL_2",127,2.10090984284533
"Control1_Control1_kidney","DCT_1",913,15.1033912324235
"Control1_Control1_kidney","EC",703,11.6294458229942
"Control1_Control1_kidney","PT_3/PEC",57,0.942928039702233
"Control1_Control1_kidney","PT_4",780,12.9032258064516
"Control1_Control1_kidney","PT_2",256,4.23490488006617
"Control1_Control1_kidney","vSMC/Fib",34,0.562448304383788
"Control1_Control1_kidney","T-Cell",16,0.264681555004136
"Control1_Control1_kidney","IC-A",391,6.46815550041357
"Control1_Control1_kidney","Pod",76,1.25723738626964
"Control1_Control1_kidney","B-Cell",13,0.21505376344086
"Control1_Control1_kidney","Mac",11,0.181968569065343
"Control1_Control1_kidney","IC-B",63,1.04218362282878
"Control1_Control1_kidney","DCT_2",78,1.29032258064516
"Control1_Control1_kidney","Mast-Cell",2,0.033085194375517
"Control1_Control1_kidney","Unk_1",40,0.661703887510339
"Control2_Control2_kidney","PC-CD/CNT",378,7.9831045406547
"Control2_Control2_kidney","PT_1",927,19.5776135163675
"Control2_Control2_kidney","TAL_1",875,18.4794086589229
"Control2_Control2_kidney","TAL_2",107,2.259767687434
"Control2_Control2_kidney","DCT_1",378,7.9831045406547
"Control2_Control2_kidney","EC",492,10.3907074973601
"Control2_Control2_kidney","PT_3/PEC",87,1.83738120380148
"Control2_Control2_kidney","PT_4",394,8.32101372756072
"Control2_Control2_kidney","PT_2",193,4.07602956705385
"Control2_Control2_kidney","vSMC/Fib",77,1.62618796198522
"Control2_Control2_kidney","T-Cell",11,0.232312565997888
"Control2_Control2_kidney","IC-A",250,5.27983104540655
"Control2_Control2_kidney","Pod",214,4.519535374868
"Control2_Control2_kidney","B-Cell",13,0.27455121436114
"Control2_Control2_kidney","Mac",9,0.190073917634636
"Control2_Control2_kidney","IC-B",85,1.79514255543823
"Control2_Control2_kidney","DCT_2",168,3.5480464625132
"Control2_Control2_kidney","Mast-Cell",2,0.0422386483632524
"Control2_Control2_kidney","Unk_1",75,1.58394931362196
