,0,1,2,3,4,5,6,7
B3GALT6,0.0501792114695341,0.0265700483091787,0.0153452685421995,0.0220820189274448,0.0193798449612403,0.0201612903225806,0.0217391304347826,0.0166666666666667
C1QTNF12,0.0017921146953405,0.00483091787439614,0,0.00315457413249211,0,0,0,0
UBE2J2,0.170250896057348,0.195652173913043,0.237851662404092,0.182965299684543,0.151162790697674,0.193548387096774,0.25,0.216666666666667
SCNN1D,0.0017921146953405,0,0.0051150895140665,0.00946372239747634,0,0,0.0108695652173913,0
ACAP3,0.0304659498207885,0.0241545893719807,0.0127877237851662,0.0157728706624606,0.00387596899224806,0.00806451612903226,0.0434782608695652,0
PUSL1,0.0806451612903226,0.0531400966183575,0.0690537084398977,0.0725552050473186,0.0426356589147287,0.120967741935484,0.0326086956521739,0.0166666666666667
INTS11,0.206093189964158,0.195652173913043,0.20460358056266,0.195583596214511,0.193798449612403,0.25,0.217391304347826,0.133333333333333
CPTP,0.0609318996415771,0.070048309178744,0.0895140664961637,0.0725552050473186,0.0271317829457364,0.0806451612903226,0.0108695652173913,0
DVL1,0.0627240143369176,0.0821256038647343,0.061381074168798,0.0694006309148265,0.0271317829457364,0.0403225806451613,0.0760869565217391,0.0333333333333333
MXRA8,0,0.00241545893719807,0,0,0.00387596899224806,0.00806451612903226,0.0217391304347826,0.0666666666666667
AURKAIP1,0.802867383512545,0.903381642512077,0.895140664961637,0.861198738170347,0.968992248062015,0.967741935483871,0.793478260869565,0.95
CCNL2,0.252688172043011,0.207729468599034,0.158567774936061,0.26813880126183,0.127906976744186,0.104838709677419,0.173913043478261,0.15
MRPL20,0.650537634408602,0.746376811594203,0.751918158567775,0.779179810725552,0.868217054263566,0.887096774193548,0.641304347826087,0.85
AL391244.3,0.00537634408602151,0.00483091787439614,0.00255754475703325,0.00315457413249211,0.00387596899224806,0,0,0
ANKRD65,0.010752688172043,0.00241545893719807,0.00767263427109974,0.00946372239747634,0.00387596899224806,0,0,0
VWA1,0.168458781362007,0.130434782608696,0.10997442455243,0.258675078864353,0.0155038759689922,0.0282258064516129,0,0.0333333333333333
ATAD3C,0.0448028673835125,0.00966183574879227,0.010230179028133,0.0599369085173502,0.00775193798449612,0,0,0
ATAD3B,0.028673835125448,0.0241545893719807,0.0358056265984655,0.0347003154574132,0.0116279069767442,0.0604838709677419,0.0543478260869565,0
ATAD3A,0.028673835125448,0.0265700483091787,0.030690537084399,0.0252365930599369,0.0232558139534884,0.0725806451612903,0.0543478260869565,0.0333333333333333
TMEM240,0.0017921146953405,0.00483091787439614,0,0.00315457413249211,0,0,0,0
SSU72,0.360215053763441,0.376811594202899,0.347826086956522,0.413249211356467,0.333333333333333,0.338709677419355,0.293478260869565,0.333333333333333
AL645728.1,0.003584229390681,0.00241545893719807,0.00255754475703325,0.0157728706624606,0.00775193798449612,0,0.0108695652173913,0
